Model,Status,Config,MAE,RMSE,MAPE,Pearson,SNR
PURE_TSCAN,SUCCESS,CUSTOM_PURE_TSCAN,13.86474609375,19.047390937858438,17.268203371521412,0.3396541951863455,6.323500825632546
UBFC-rPPG_TSCAN,SUCCESS,CUSTOM_UBFC_TSCAN,15.60791015625,22.406005028059862,19.75069295734243,0.14848891355834268,6.337236113732718
SCAMPS_TSCAN,SUCCESS,CUSTOM_SCAMPS_TSCAN,19.5556640625,23.341677286440053,25.866481664363484,0.04442813096661666,7.145863037469807
MA-UBFC_tscan,SUCCESS,CUSTOM_MAUBFC_TSCAN,21.9140625,26.65202593233031,26.965598081185483,0.05950819259020336,7.4219144912211465
BP4D_PseudoLabel_TSCAN,SUCCESS,CUSTOM_BP4D_TSCAN,25.2685546875,37.08829903662741,33.891826459052275,0.04383659463498136,6.502133959270306
PURE_DeepPhys,SUCCESS,CUSTOM_PURE_DeepPhys,20.48583984375,26.41042597327856,24.79735860706119,0.05836259840912217,7.28390324299354
UBFC-rPPG_DeepPhys,SUCCESS,CUSTOM_UBFC_DeepPhys,17.0947265625,23.894291298911675,20.5188129994078,0.14585716833367005,6.010716378195402
SCAMPS_DeepPhys,SUCCESS,CUSTOM_SCAMPS_DeepPhys,18.7060546875,26.074054160295134,21.873842378740694,0.10183717221052521,6.226605582195972
MA-UBFC_deepphys,SUCCESS,CUSTOM_MAUBFC_DeepPhys,22.18505859375,27.82696165794264,25.64395628782136,0.1885391432625552,7.413702525670335
BP4D_PseudoLabel_DeepPhys,SUCCESS,CUSTOM_BP4D_DeepPhys,13.41064453125,22.191802668778454,15.587755818786,0.08218829175861843,4.702608022945386
PURE_EfficientPhys,SUCCESS,CUSTOM_PURE_EfficientPhys,13.20556640625,23.19844979089121,16.60870305676065,0.353681556619893,4.925098426903784
UBFC-rPPG_EfficientPhys,SUCCESS,CUSTOM_UBFC_EfficientPhys,11.77734375,18.251153674305503,14.647372867933598,0.30659225146569774,4.8214430844153595
SCAMPS_EfficientPhys,SUCCESS,CUSTOM_SCAMPS_EfficientPhys,15.64453125,19.190906731681075,22.7421330564758,0.048480208010603446,6.975145352681954
iBVP_EfficientPhys,SUCCESS,CUSTOM_iBVP_EfficientPhys,35.4345703125,57.5138212261566,48.742991711738206,0.18018514813447542,3.839641941736241
MA-UBFC_efficientphys,SUCCESS,CUSTOM_MAUBFC_EfficientPhys,10.37109375,17.96175613296559,13.010440421776574,0.37466554520519757,4.013522638132326
BP4D_PseudoLabel_EfficientPhys,SUCCESS,CUSTOM_BP4D_EfficientPhys,11.865234375,20.712030762518076,14.388231415470237,0.12864045513810363,4.3319696662258975
PURE_PhysNet_DiffNormalized,SUCCESS,CUSTOM_PURE_PhysNet,16.89697265625,22.137055878624142,20.596182243885185,0.1929421584976074,7.015157809805667
UBFC-rPPG_PhysNet_DiffNormalized,SUCCESS,CUSTOM_UBFC_PhysNet,9.8583984375,16.562389157482137,14.82630016701269,0.5299760525271645,5.098406832491837
SCAMPS_PhysNet_DiffNormalized,SUCCESS,CUSTOM_SCAMPS_PhysNet,23.88427734375,29.038342926494394,33.753750321232914,0.02968815000115471,7.062754861757892
MA-UBFC_physnet,SUCCESS,CUSTOM_MAUBFC_PhysNet,17.45361328125,23.924513179884563,25.637174529015304,0.06472297009578368,6.297359864746751
BP4D_PseudoLabel_PhysNet_DiffNormalized,SUCCESS,CUSTOM_BP4D_PhysNet,13.17626953125,21.68282975802773,18.028949991968947,0.2530392768314877,5.159338977910978
